LOCAL AUTHORITY,Region,Latitude,Longitude,POPULATION,AVERAGE RANK,OVERALL RANK,ANTI SOCIAL BEHAVIOUR REPORTS PER 1K RESIDENTS,ANTI SOCIAL BEHAVIOUR RANK,"% OF OWNED PROPERTIES (OUTRIGHT, W/MORTGAGE OR LOAN)",% OF OWNED PROPERTIES RANK,GOOGLE SEARCHES FOR “community events”,WEIGHTED BY POPULATION,GOOGLE SEARCH RANK,GOOGLE SEARCH CHANGE FOR “community events”,GOOGLE SEARCH CHANGE RANK,LOCAL COUNCIL AWARD WINS,LOCAL COUNCIL AWARD WINS RANK,"# OF SOCIAL AMENITIES (COMMUNITY CENTRES, CAFÉS, PUBS)","# OF SOCIAL AMENITIES PER 10,000 RESIDENTS ",# OF SOCIAL AMENITIES RANK,"QUANTITY OF PUBLIC FIELDS, PARKS AND PUBLIC GARDENS WITHIN A 1000M RADIUS",QUANTITY OF PUBLIC GREEN SPACES RANK
Brighton and Hove,South East,50.82250,0.1372,283870,22.71,10.00,20.60,22.00,52.79,28.00,220.00,0.00077500,31.00,300%,2.00,2.00,34.00,150.00,5.28,13.00,4.97,29.00
Bradford,Yorkshire and The Humber,53.79500,1.7594,546976,28.71,31.00,13.40,8.00,62.50,11.00,210.00,0.00038393,43.00,-25%,42.00,4.00,25.00,144.00,2.63,42.00,4.96,30.00
Croydon,London,51.37620,0.0982,192064,25.00,15.00,24.20,34.00,57.24,21.00,840.00,0.00437354,3.00,67%,9.00,1.00,43.00,60.00,3.12,34.00,4.92,31.00
Chester,North West,53.19340,2.8931,92760,17.43,2.00,7.70,1.00,69.40,3.00,170.00,0.00183269,11.00,-50%,52.00,5.00,18.00,82.00,8.84,5.00,4.84,32.00
Peterborough,East of England,52.56950,0.2405,223655,27.86,26.00,26.40,38.00,56.83,22.00,220.00,0.00098366,24.00,0%,32.00,5.00,24.00,89.00,3.98,22.00,4.83,33.00
Exeter,South West,50.71840,3.5339,138399,31.71,41.00,23.30,30.00,57.97,19.00,50.00,0.00036127,46.00,0%,21.00,0.00,52.00,58.00,4.19,20.00,4.77,34.00
Manchester,North West,53.48080,2.2426,589670,36.57,53.00,40.70,55.00,38.81,47.00,770.00,0.00130582,19.00,-38%,47.00,4.00,29.00,228.00,3.87,24.00,4.75,35.00
Harrow,London,51.58060,0.3417,270724,26.29,19.00,22.60,27.00,60.00,13.00,760.00,0.00280729,5.00,0%,24.00,1.00,44.00,83.00,3.07,35.00,4.67,36.00
Sheffield,Yorkshire and The Humber,53.38110,1.4701,556500,28.86,32.00,19.10,20.00,58.54,16.00,370.00,0.00066487,33.00,-43%,49.00,10.00,4.00,132.00,2.37,43.00,4.61,37.00
Coventry,West Midlands,52.40680,1.5197,345324,24.71,14.00,8.30,2.00,58.02,18.00,420.00,0.00121625,22.00,-29%,44.00,5.00,19.00,123.00,3.56,28.00,4.58,40.00
Bath ,South West,51.37580,2.3599,94080,26.71,20.00,16.00,15.00,66.25,6.00,180.00,0.00191327,9.00,-50%,51.00,1.00,38.00,33.00,3.51,30.00,4.58,38.00
Brent,London,51.55880,0.2817,352976,32.57,44.00,33.90,50.00,41.60,45.00,150.00,0.00042496,40.00,0%,15.00,8.00,7.00,120.00,3.40,32.00,4.58,39.00
Barking and Dagenham,London,51.56070,0.1557,232747,33.14,46.00,23.10,28.00,46.50,39.00,60.00,0.00025779,52.00,67%,8.00,0.00,50.00,121.00,5.20,14.00,4.51,41.00
York,Yorkshire and The Humber,53.95900,1.0815,141685,31.00,39.00,23.90,33.00,65.81,7.00,90.00,0.00063521,34.00,0%,39.00,1.00,49.00,77.00,5.43,11.00,4.44,44.00
Redbridge,London,51.57610,0.0453,321231,31.86,43.00,21.00,25.00,59.80,14.00,120.00,0.00037356,44.00,0%,33.00,8.00,10.00,25.00,0.78,54.00,4.44,43.00
Havering,London,51.57790,0.2121,276274,31.43,40.00,20.60,23.00,71.10,1.00,125.00,0.00045245,39.00,0%,25.00,1.00,45.00,59.00,2.14,45.00,4.44,42.00
Portsmouth,South East,50.81980,1.088,208100,32.86,45.00,12.40,7.00,52.54,29.00,190.00,0.00091302,26.00,-83%,55.00,0.00,53.00,107.00,5.14,15.00,4.31,45.00
Southampton,South East,50.90970,1.4044,269781,34.57,50.00,13.70,10.00,48.55,35.00,140.00,0.00051894,37.00,0%,35.00,0.00,54.00,104.00,3.85,25.00,4.31,46.00
Bexley,London,51.45190,0.1176,248287,27.00,24.00,15.30,11.00,70.21,2.00,330.00,0.00132911,18.00,0%,14.00,0.00,51.00,53.00,2.13,46.00,4.23,47.00
Luton,East of England,51.87870,0.42,239090,26.71,21.00,15.50,12.00,55.37,23.00,240.00,0.00100381,23.00,0%,28.00,2.00,36.00,104.00,4.35,17.00,4.18,48.00
Canterbury,South East,51.28020,1.0789,55087,21.86,8.00,19.80,21.00,66.30,5.00,100.00,0.00181531,12.00,0%,18.00,1.00,42.00,42.00,7.62,6.00,4.17,49.00
Kingston upon Thames,London,51.40850,0.3064,172692,31.71,42.00,19.00,19.00,61.80,12.00,120.00,0.00069488,32.00,0%,27.00,3.00,32.00,28.00,1.62,50.00,4.17,50.00
Birmingham,West Midlands,52.48620,1.8904,1183618,31.00,38.00,9.70,3.00,54.01,27.00,960.00,0.00081107,30.00,-39%,48.00,8.00,6.00,158.00,1.33,52.00,4.10,51.00
Sunderland,North East,54.90690,1.3838,288606,36.71,54.00,18.40,18.00,58.84,15.00,80.00,0.00027719,51.00,0%,37.00,0.00,55.00,102.00,3.53,29.00,3.77,52.00
Lincoln,East Midlands,53.23070,0.5406,103813,39.14,55.00,38.00,54.00,51.15,31.00,170.00,0.00163756,14.00,-83%,54.00,2.00,35.00,34.00,3.28,33.00,3.75,53.00
"Kingston upon Hull, City of",Yorkshire and The Humber,53.76760,0.3274,275401,33.71,48.00,10.70,4.00,49.12,33.00,230.00,0.00083515,28.00,-80%,53.00,4.00,28.00,80.00,2.90,36.00,3.60,54.00
Durham,North East,54.77530,1.5849,50510,19.14,3.00,23.60,31.00,63.27,10.00,120.00,0.00237577,6.00,50%,10.00,5.00,20.00,86.00,17.03,2.00,3.17,55.00
